model,dataset,episode_id,success,spl_full_suite,ndtw,sdtw,steps,path_length,termination
lightnav,hm3d,c4ceff16d4cdde6779c260e9,1,0.7157256341854038,,,123,16.5644639619107,stop
lightnav,hm3d,045e3ce284d073e77e42bf05,1,0.5207116774582262,,,385,6.010799219410393,stop
lightnav,hm3d,49177509d92628e1870c25c8,1,0.4887674433963588,,,39,6.3000056807547296,stop
lightnav,hm3d,dafdb95266c2c55311c27ef0,1,0.3665609707941017,,,77,12.250005100641529,stop
lightnav,hm3d,07b72e5c58de579a52417664,1,0.1973695280662564,,,374,14.87693481964256,stop
lightnav,hm3d,040a7e59cd62205f9ab7eb46,0,0.0,,,500,14.214886831451574,max_steps
lightnav,hm3d,9aaea20f755d0f05d8661429,1,0.6486106410414704,,,149,13.094227843306367,stop
lightnav,hm3d,70ecf06bfa45e4396a520946,1,0.5983668445133641,,,64,7.286310727502426,stop
lightnav,hm3d,ed6f0f0e011888329e7a27ef,1,0.8282151920899075,,,61,8.762063164666717,stop
lightnav,hm3d,aac56f17bd388b5189907673,1,0.7380304306684529,,,477,14.512279539896799,stop
lightnav,hm3d,0e4475d4dd71a7789f162ea3,0,0.0,,,500,9.999561494790646,max_steps
lightnav,hm3d,82a91384f4cd0950418995ed,1,0.7463922718213309,,,53,4.369994742989119,stop
lightnav,hm3d,fc003722f4da63e574a4ba25,1,0.21850388429744244,,,70,13.130324915566929,stop
lightnav,hm3d,52e30fa02b660f8931f04bad,1,0.6186401813380407,,,81,7.1187850641576444,stop
lightnav,hm3d,869e9dd3566a14d1c7ed6d3f,0,0.0,,,500,23.965818772266545,max_steps
lightnav,hm3d,a6603a577e336ff37fbc8c88,0,0.0,,,500,1.9559675569157535,max_steps
lightnav,hm3d,ca986d7a6cce0d70f312e95d,0,0.0,,,500,7.409561232240149,max_steps
lightnav,hm3d,62cf692bffe9eeff98835c05,0,0.0,,,500,4.96276967571778,max_steps
lightnav,hm3d,1ec2233d0129cf3be0e78ff3,1,0.22026862614322165,,,207,23.500005386021268,stop
lightnav,hm3d,8010a606898ef1db89a42896,1,0.14290968488563072,,,160,27.423695043310378,stop
lightnav,hm3d,a356eef974fd2e7582db6166,1,0.5992367000811011,,,324,3.7840667224937152,stop
lightnav,hm3d,dd86a3f2ccb8e4d40797a328,1,0.2741474572440138,,,96,10.91471609252351,stop
lightnav,hm3d,cab188dc535a45de8d5ebd19,0,0.0,,,500,14.308662816621263,max_steps
lightnav,hm3d,aa9bf4d38ca08237f6c2d679,0,0.0,,,500,28.000710137186367,max_steps
lightnav,hm3d,ba396b8a2e1f707a37a58e83,0,0.0,,,500,4.706992637080591,max_steps
lightnav,hm3d,0638422c73f686ffa72ab5fa,1,0.3816247063155074,,,83,13.511542050444444,stop
lightnav,hm3d,2634f4ada3dd7f7e1f96d9e2,1,0.7425475149473747,,,59,6.380103321675918,stop
lightnav,hm3d,083de1a97fc102f2f2094c63,1,0.5942006992024309,,,150,11.120954624531317,stop
lightnav,hm3d,80e1ccbe1d71f9dececa8662,0,0.0,,,55,7.98305383950682,stop
lightnav,hm3d,6b19a3f98ba0313c7bb299f8,0,0.0,,,500,4.165624371734472,max_steps
lightnav,hm3d,d8345ac3e9e03a0aa4013d54,1,0.7373808119118109,,,54,5.703698911535249,stop
lightnav,hm3d,d137661edc40d54ac09c2a2d,1,0.7433068249872335,,,71,6.247374338497947,stop
lightnav,hm3d,f20284815275e144b59298d4,0,0.0,,,500,10.14902910474736,max_steps
lightnav,hm3d,3fa2439ddc4a934d81bec5f9,1,0.3436739490777982,,,400,19.491977823325445,stop
lightnav,hm3d,981cdfad49d515c0d45f672b,1,0.6547596210749874,,,77,5.045142009989107,stop
lightnav,hm3d,d3862628202d6451c79b325a,0,0.0,,,500,3.0908609797013997,max_steps
lightnav,hm3d,71a3a289c4e099d9749b692b,0,0.0,,,500,1.5447556284313815,max_steps
lightnav,hm3d,5439c8e611af8b115778bac8,1,0.5426292683769505,,,357,7.788139361300656,stop
lightnav,hm3d,5c1f6f14cce965e3603e9c19,1,0.6964293239613821,,,50,8.02535686757926,stop
lightnav,hm3d,24d5989605fcae318f33aa35,1,0.8236221151366645,,,58,9.258445929186552,stop
lightnav,hm3d,2d8427402e89e193accfd072,0,0.0,,,500,49.966139203472125,max_steps
lightnav,hm3d,ad833a3dce01bcc19f8b11b1,1,0.5848461458244129,,,61,4.063725439141768,stop
lightnav,hm3d,495359401732f5630cfed38c,1,0.7717714653284717,,,50,6.000000980887134,stop
uninavid,r2r,1639,0,0.0,0.27640284508986473,0.0,500,3.7318471670150757,max_steps
uninavid,r2r,1746,0,0.0,0.5130605534678969,0.0,500,4.025295302271843,max_steps
uninavid,r2r,1482,0,0.0,0.772212863737665,0.0,56,9.964874308556318,stop
uninavid,r2r,289,0,0.0,0.662802847348776,0.0,500,4.021077871322632,max_steps
uninavid,r2r,1583,0,0.0,0.6355470687620005,0.0,61,3.464941628277302,stop
uninavid,r2r,1785,1,1.0,0.9277769460042626,0.9277769460042626,39,8.805401384830475,stop
uninavid,r2r,726,1,0.9501232755666924,0.9532372698443015,0.9532372698443015,41,8.51131920516491,stop
uninavid,r2r,802,0,0.0,0.8197051953516067,0.0,49,9.500001072883606,stop
uninavid,r2r,949,0,0.0,0.35761231511805724,0.0,500,7.022328168153763,max_steps
uninavid,r2r,1618,0,0.0,0.25245088429275037,0.0,281,20.534040216356516,stop
uninavid,r2r,1629,1,0.9066910649491899,0.9137808250381144,0.9137808250381144,55,7.490876868367195,stop
uninavid,r2r,256,1,0.5978349838124454,0.6371304628959059,0.6371304628959059,136,8.30836696922779,stop
uninavid,r2r,1231,0,0.0,0.24488307024781342,0.0,500,0.3037310913205147,max_steps
uninavid,r2r,913,1,1.0,0.9702677557316823,0.9702677557316823,53,11.764179036021233,stop
uninavid,r2r,401,1,1.0,0.8870983944634238,0.8870983944634238,27,4.292690724134445,stop
uninavid,r2r,1582,0,0.0,0.5625872564957032,0.0,39,4.750000067055225,stop
uninavid,r2r,1328,0,0.0,0.07303683137667326,0.0,500,21.74999091029167,max_steps
uninavid,r2r,1325,0,0.0,0.5012525534421124,0.0,500,1.7500006407499313,max_steps
uninavid,r2r,314,0,0.0,0.6094982034645072,0.0,85,6.374530270695686,stop
uninavid,r2r,1603,0,0.0,0.4141852487711817,0.0,500,12.45124551653862,max_steps
uninavid,r2r,1002,0,0.0,0.6227987921959297,0.0,500,17.01245404779911,max_steps
uninavid,r2r,464,1,0.989279462620255,0.869492841781797,0.869492841781797,39,5.670449942350388,stop
uninavid,r2r,1075,0,0.0,0.565048767557168,0.0,500,4.249999225139618,max_steps
uninavid,r2r,680,0,0.0,0.7768734166607619,0.0,500,14.549639880657196,max_steps
uninavid,r2r,1474,0,0.0,0.09456161797542956,0.0,51,8.597100168466568,stop
uninavid,r2r,919,0,0.0,0.33369934673253054,0.0,68,7.300572641193867,stop
uninavid,r2r,1779,0,0.0,0.4013942548984535,0.0,44,7.406414866447449,stop
uninavid,r2r,785,0,0.0,0.5577691444430576,0.0,500,3.438127174973488,max_steps
uninavid,r2r,693,0,0.0,0.4928927200057616,0.0,187,11.957534273155034,stop
uninavid,r2r,1472,1,0.787511086970002,0.7935350014537615,0.7935350014537615,80,13.173239395022392,stop
uninavid,r2r,1605,0,0.0,0.9099994161724597,0.0,500,6.204453110694885,max_steps
uninavid,r2r,1555,1,0.9593286944603595,0.9153661353395153,0.9153661353395153,78,15.948334604501724,stop
uninavid,r2r,614,1,1.0,0.9055022331519156,0.9055022331519156,44,6.373874917626381,stop
uninavid,r2r,518,0,0.0,0.771933697968865,0.0,500,10.50726929306984,max_steps
uninavid,r2r,444,0,0.0,0.19733184605689155,0.0,500,7.988514840602875,max_steps
uninavid,r2r,1614,0,0.0,0.4443743089459923,0.0,500,4.2500009983778,max_steps
uninavid,r2r,402,1,1.0,0.8977632914083952,0.8977632914083952,37,4.792690843343735,stop
uninavid,r2r,1584,0,0.0,0.5700369913850503,0.0,35,4.748435489833355,stop
uninavid,r2r,569,0,0.0,0.45111332324690434,0.0,500,3.5670315772295,max_steps
uninavid,r2r,1578,0,0.0,0.580277859712766,0.0,60,1.9765456020832062,stop
uninavid,r2r,1295,0,0.0,0.7571403009758252,0.0,500,5.5098448395729065,max_steps
uninavid,r2r,189,1,0.7790089737062154,0.8394333709366998,0.8394333709366998,65,11.205312758684158,stop
uninavid,r2r,552,0,0.0,0.1590227502160344,0.0,500,3.5000000596046448,max_steps
uninavid,r2r,1090,1,0.9089159249709409,0.8793066822602326,0.8793066822602326,33,5.5981737077236176,stop
uninavid,r2r,34,0,0.0,0.44797212212020315,0.0,391,26.04572755098343,stop
uninavid,r2r,204,0,0.0,0.4104370021747626,0.0,219,3.018468454480171,stop
uninavid,r2r,1136,1,1.0,0.8598208847415879,0.8598208847415879,48,9.995705410838127,stop
uninavid,r2r,290,0,0.0,0.6024939882981016,0.0,500,5.558387205004692,max_steps
uninavid,r2r,1483,1,1.0,0.939588456504916,0.939588456504916,34,5.961099319159985,stop
uninavid,r2r,1346,0,0.0,0.8486226345330024,0.0,500,10.500001221895218,max_steps
uninavid,rxr,1936,1,0.9551555491449014,0.9609875189465976,0.9609875189465976,20,3.9647662341594696,stop
uninavid,rxr,10574,1,0.89134690666815,0.9337150036829746,0.9337150036829746,23,2.50002521276474,stop
uninavid,rxr,9489,0,0.0,0.7678894748425842,0.0,25,4.118850141763687,stop
uninavid,rxr,2437,1,0.7204977761959891,0.9232799596226805,0.9232799596226805,89,15.756016373634338,stop
uninavid,rxr,1158,0,0.0,0.16844400658096684,0.0,500,23.21374513208866,max_steps
uninavid,rxr,6529,1,0.5952567904333366,0.7622476376547385,0.7622476376547385,27,3.999999299645424,stop
uninavid,rxr,4179,1,0.3253561655680339,0.9022499331169564,0.9022499331169564,71,11.25,stop
uninavid,rxr,2682,0,0.0,0.1199179534003731,0.0,500,56.78234323859215,max_steps
uninavid,rxr,2836,1,0.8185030206669421,0.8250076615737033,0.8250076615737033,46,6.2814875692129135,stop
uninavid,rxr,10139,0,0.0,0.19434552452553955,0.0,74,11.489928662776947,stop
uninavid,rxr,9036,0,0.0,0.3966552610006828,0.0,500,15.272519066929817,max_steps
uninavid,rxr,10469,0,0.0,0.39520511663394026,0.0,500,8.511994108557701,max_steps
uninavid,rxr,1563,0,0.0,0.45963131847295696,0.0,500,12.089290018659085,max_steps
uninavid,rxr,9488,1,1.0,0.7945499988865355,0.7945499988865355,23,3.368850201368332,stop
uninavid,rxr,7796,0,0.0,0.1343102341102821,0.0,500,57.458460710942745,max_steps
uninavid,rxr,2183,0,0.0,0.6120009257819322,0.0,66,2.542236976325512,stop
uninavid,rxr,3852,0,0.0,0.1107108594354961,0.0,244,4.2346992045640945,stop
uninavid,rxr,6321,0,0.0,0.47773244079626026,0.0,114,9.260798066854477,stop
uninavid,rxr,1622,0,0.0,0.6855246537964311,0.0,123,24.118869304656982,stop
uninavid,rxr,7211,0,0.0,0.8742914666137184,0.0,108,18.721519231796265,stop
uninavid,rxr,2845,0,0.0,0.2710982166973809,0.0,113,11.750111386179924,stop
uninavid,rxr,7612,0,0.0,0.5576658843340054,0.0,500,30.949326366186142,max_steps
uninavid,rxr,2885,0,0.0,0.2806465280228486,0.0,500,8.536342397332191,max_steps
uninavid,rxr,6147,1,0.7794384066685599,0.9300944404208341,0.9300944404208341,31,4.53033421933651,stop
uninavid,rxr,2693,1,0.5387087617736137,0.5749164572382112,0.5749164572382112,207,21.15858556330204,stop
uninavid,rxr,1124,0,0.0,0.42136192231148184,0.0,500,16.906538993120193,max_steps
uninavid,rxr,2184,0,0.0,0.8137762771329234,0.0,70,6.150299832224846,stop
